name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Rhodococcus sp. WMMA185	679318	S	13	0	13	0.00000
Rhodococcus opacus	37919	S	14	4	18	0.00000
Nocardia cyriacigeorgica	135487	S	12	4	16	0.00000
Nocardia brasiliensis	37326	S	10	3	13	0.00000
Nocardia terpenica	455432	S	10	6	16	0.00000
Corynebacterium ureicelerivorans	401472	S	11	21	32	0.00000
Dietzia sp. oral taxon 368	712270	S	33	8	41	0.00000
Tsukamurella paurometabola	2061	S	12	3	15	0.00000
Streptomyces spongiicola	1690221	S	684	48	732	0.00001
Streptomyces sp. TN58	234612	S	47	7	54	0.00000
Streptomyces sp. Z022	1442032	S	20	4	24	0.00000
Streptomyces sp. SM18	1736046	S	14	1	15	0.00000
Streptomyces globisporus	1908	S	65	16	81	0.00000
Streptomyces venezuelae	54571	S	38	48	86	0.00000
Streptomyces scabiei	1930	S	34	2	36	0.00000
Microbacterium sp. TPU 3598	1938334	S	89	15	104	0.00000
Agromyces sp. LHK192	2498704	S	65	6	71	0.00000
Frondihabitans sp. 762G35	1446794	S	13	0	13	0.00000
Brevibacterium linens	1703	S	209	6	215	0.00000
Cellulomonas sp. Y8	2591145	S	14	2	16	0.00000
Sanguibacter keddieii	60920	S	19	1	20	0.00000
Amycolatopsis mediterranei	33910	S	37	4	41	0.00000
Cutibacterium acnes	1747	S	23	0	23	0.00000
Microlunatus sp. KUDC0627	2596828	S	18	5	23	0.00000
Catenulispora acidiphila	304895	S	46	0	46	0.00000
Nakamurella multipartita	53461	S	10	0	10	0.00000
Staphylococcus saprophyticus	29385	S	990	91	1081	0.00002
Staphylococcus equorum	246432	S	14	32	46	0.00000
Deinococcus swuensis	1182571	S	58	1	59	0.00000
Mesorhizobium loti	381	S	59	7	66	0.00000
Mesorhizobium sp. M1D.F.Ca.ET.043.01.1.1	2493669	S	31	4	35	0.00000
Mesorhizobium amorphae	71433	S	10	1	11	0.00000
Bradyrhizobiaceae bacterium SG-6C	709797	S	24	7	31	0.00000
Rhodopseudomonas palustris	1076	S	15	3	18	0.00000
Microvirga ossetica	1882682	S	21	2	23	0.00000
Sphingomonas sp. NIC1	1961362	S	72	17	89	0.00000
Rhodobacteraceae bacterium 9Alg 56	2683284	S	12	1	13	0.00000
Ralstonia solanacearum	305	S	72	25	97	0.00000
Burkholderia sp. KK1	1855726	S	28	4	32	0.00000
Cupriavidus oxalaticus	96344	S	15	3	18	0.00000
Achromobacter denitrificans	32002	S	101	30	131	0.00000
Hydrogenophaga sp. BPS33	2651974	S	66	6	72	0.00000
Pseudomonas fluorescens	294	S	10	14	24	0.00000
Pseudomonas antarctica	219572	S	15	17	32	0.00000
Escherichia coli	562	S	13	220	233	0.00000
Xanthomonas vasicola	56459	S	35	2	37	0.00000
Xanthomonas citri	346	S	14	5	19	0.00000
Sorangium cellulosum	56	S	10	1	11	0.00000
Homo sapiens	9606	S	216	0	216	0.00000
Ralstonia virus RSL1	1980923	S	15	0	15	0.00000
